task_id	annotation_type	turns_n	user_type	interaction_style	proactive	ext_knowledge	doc_filename	category	subcategory
TASK_00051	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0073.txt	Comune	Milano
TASK_00052	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0074.txt	Comune	Milano
TASK_00053	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0075.txt	Comune	Milano
TASK_00054	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0076.txt	Comune	Milano
TASK_00055	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0077.txt	Comune	Milano
TASK_00056	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0078.txt	Comune	Milano
TASK_00057	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0079.txt	Comune	Milano
TASK_00058	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0080.txt	Comune	Milano
TASK_00059	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0081.txt	Comune	Milano
TASK_00060	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0082.txt	Comune	Milano
TASK_00061	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0083.txt	Comune	Milano
TASK_00062	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0084.txt	Comune	Milano
TASK_00063	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0085.txt	Comune	Milano
TASK_00064	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0086.txt	Comune	Milano
TASK_00065	edit_with_ground_SBERT	7	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0087.txt	Comune	Milano
TASK_00066	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0088.txt	Comune	Milano
TASK_00067	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0089.txt	Comune	Milano
TASK_00068	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0090.txt	Comune	Milano
TASK_00069	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0091.txt	Comune	Milano
TASK_00070	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0093.txt	Comune	Milano
TASK_00071	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0095.txt	Comune	Milano
TASK_00072	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0097.txt	Comune	Milano
TASK_00073	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0098.txt	Comune	Milano
TASK_00074	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0101.txt	Comune	Milano
TASK_00075	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0103.txt	Comune	Milano
TASK_00076	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0104.txt	Comune	Milano
TASK_00077	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0005.txt	Comune	Milano
TASK_00078	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0008.txt	Comune	Milano
TASK_00079	edit_with_ground_SBERT	2	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0015.txt	Comune	Milano
TASK_00080	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0025.txt	Comune	Milano
TASK_00081	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0026.txt	Comune	Milano
TASK_00082	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0029.txt	Comune	Milano
TASK_00083	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0038.txt	Comune	Milano
TASK_00084	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0040.txt	Comune	Milano
TASK_00085	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0051.txt	Comune	Milano
TASK_00086	edit_with_ground_SBERT	7	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0056.txt	Comune	Milano
TASK_00087	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0057.txt	Comune	Milano
TASK_00088	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0058.txt	Comune	Milano
TASK_00089	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0061.txt	Comune	Milano
TASK_00090	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0070.txt	Comune	Milano
TASK_00091	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0092.txt	Comune	Milano
TASK_00092	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0096.txt	Comune	Milano
TASK_00093	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0099.txt	Comune	Milano
TASK_00094	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0100.txt	Comune	Milano
TASK_00095	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0102.txt	Comune	Milano
TASK_00096	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0106.txt	Comune	Milano
TASK_00097	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0110.txt	Comune	Milano
TASK_00098	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0112.txt	Comune	Milano
TASK_00099	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0113.txt	Comune	Milano
TASK_00100	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0114.txt	Comune	Milano
TASK_00101	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0115.txt	Comune	Milano
TASK_00102	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0116.txt	Comune	Milano
TASK_00103	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0118.txt	Comune	Milano
TASK_00104	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0119.txt	Comune	Milano
TASK_00105	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0120.txt	Comune	Milano
TASK_00106	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0122.txt	Comune	Milano
TASK_00107	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0124.txt	Comune	Milano
TASK_00108	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0125.txt	Comune	Milano
TASK_00109	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0127.txt	Comune	Milano
TASK_00110	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0129.txt	Comune	Milano
TASK_00111	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0130.txt	Comune	Milano
TASK_00112	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0131.txt	Comune	Milano
TASK_00113	edit_with_ground_SBERT	9	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0132.txt	Comune	Milano
TASK_00114	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0133.txt	Comune	Milano
TASK_00115	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0135.txt	Comune	Milano
TASK_00116	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0136.txt	Comune	Milano
TASK_00117	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0137.txt	Comune	Milano
TASK_00118	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0138.txt	Comune	Milano
TASK_00119	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0139.txt	Comune	Milano
TASK_00120	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0140.txt	Comune	Milano
TASK_00121	edit_with_ground_SBERT	3	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0141.txt	Comune	Milano
TASK_00122	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0142.txt	Comune	Milano
TASK_00123	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0143.txt	Comune	Milano
TASK_00124	edit_with_ground_SBERT	5	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0144.txt	Comune	Milano
TASK_00125	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0146.txt	Comune	Milano
TASK_00126	edit_with_ground_SBERT	7	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0147.txt	Comune	Milano
TASK_00127	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0148.txt	Comune	Milano
TASK_00128	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0149.txt	Comune	Milano
TASK_00129	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0150.txt	Comune	Milano
TASK_00130	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0151.txt	Comune	Milano
TASK_00131	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0152.txt	Comune	Milano
TASK_00132	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0153.txt	Comune	Milano
TASK_00133	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0154.txt	Comune	Milano
TASK_00134	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0155.txt	Comune	Milano
TASK_00135	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0156.txt	Comune	Milano
TASK_00136	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0157.txt	Comune	Milano
TASK_00137	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0158.txt	Comune	Milano
TASK_00138	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0159.txt	Comune	Milano
TASK_00139	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0160.txt	Comune	Milano
TASK_00140	edit_with_ground_SBERT	5	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0162.txt	Comune	Milano
TASK_00141	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0163.txt	Comune	Milano
TASK_00142	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0164.txt	Comune	Milano
TASK_00143	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0165.txt	Comune	Milano
TASK_00144	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0167.txt	Comune	Milano
TASK_00145	edit_with_ground_SBERT	9	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0169.txt	Comune	Milano
TASK_00146	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0170.txt	Comune	Milano
TASK_00147	edit_with_ground_SBERT	14	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0171.txt	Comune	Milano
TASK_00148	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0172.txt	Comune	Milano
TASK_00149	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0173.txt	Comune	Milano
TASK_00150	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0174.txt	Comune	Milano
TASK_00151	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0175.txt	Comune	Milano
TASK_00152	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0176.txt	Comune	Milano
TASK_00153	edit_with_ground_SBERT	12	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0178.txt	Comune	Milano
TASK_00154	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0179.txt	Comune	Milano
TASK_00155	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0181.txt	Comune	Milano
TASK_00156	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0182.txt	Comune	Milano
TASK_00157	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0183.txt	Comune	Milano
TASK_00158	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0184.txt	Comune	Milano
TASK_00159	edit_with_ground_SBERT	9	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0185.txt	Comune	Milano
TASK_00160	edit_with_ground_SBERT	5	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0186.txt	Comune	Milano
TASK_00161	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0187.txt	Comune	Milano
TASK_00162	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0188.txt	Comune	Milano
TASK_00163	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0189.txt	Comune	Milano
TASK_00164	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0190.txt	Comune	Milano
TASK_00165	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0191.txt	Comune	Milano
TASK_00166	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0192.txt	Comune	Milano
TASK_00167	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0193.txt	Comune	Milano
TASK_00168	edit_with_ground_SBERT	7	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0195.txt	Comune	Milano
TASK_00169	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0196.txt	Comune	Milano
TASK_00170	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0197.txt	Comune	Milano
TASK_00171	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_D0198.txt	Comune	Milano
TASK_00172	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0200.txt	Comune	Milano
TASK_00173	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0201.txt	Comune	Milano
TASK_00174	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0202.txt	Comune	Milano
TASK_00175	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0203.txt	Comune	Milano
TASK_00176	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0204.txt	Comune	Milano
TASK_00177	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0205.txt	Comune	Milano
TASK_00178	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0206.txt	Comune	Milano
TASK_00179	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0207.txt	Comune	Milano
TASK_00180	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0208.txt	Comune	Milano
TASK_00181	edit_with_ground_SBERT	2	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0209.txt	Comune	Milano
TASK_00182	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0210.txt	Comune	Milano
TASK_00183	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0211.txt	Comune	Milano
TASK_00184	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0212.txt	Comune	Milano
TASK_00185	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0213.txt	Comune	Milano
TASK_00186	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0214.txt	Comune	Milano
TASK_00187	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0215.txt	Comune	Milano
TASK_00188	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0216.txt	Comune	Milano
TASK_00189	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0217.txt	Comune	Milano
TASK_00190	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0218.txt	Comune	Milano
TASK_00191	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0219.txt	Comune	Milano
TASK_00192	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0220.txt	Comune	Milano
TASK_00193	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0221.txt	Comune	Milano
TASK_00194	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0222.txt	Comune	Milano
TASK_00195	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0223.txt	Comune	Milano
TASK_00196	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0224.txt	Comune	Milano
TASK_00197	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0225.txt	Comune	Milano
TASK_00198	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0226.txt	Comune	Milano
TASK_00199	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0227.txt	Comune	Milano
TASK_00200	edit_with_ground_SBERT	14	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0228.txt	Comune	Milano
TASK_00201	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0229.txt	Comune	Milano
TASK_00202	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0230.txt	Comune	Milano
TASK_00203	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0231.txt	Comune	Milano
TASK_00204	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0232.txt	Comune	Milano
TASK_00205	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0233.txt	Comune	Milano
TASK_00206	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0234.txt	Comune	Milano
TASK_00207	edit_with_ground_SBERT	8	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0235.txt	Comune	Milano
TASK_00208	edit_with_ground_SBERT	3	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0236.txt	Comune	Milano
TASK_00209	edit_with_ground_SBERT	4	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0237.txt	Comune	Milano
TASK_00210	edit_with_ground_SBERT	2	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0238.txt	Comune	Milano
TASK_00211	edit_with_ground_SBERT	10	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0239.txt	Comune	Milano
TASK_00212	edit_with_ground_SBERT	6	Cittadino	Lei	False	False	comune.milano_aree-tematiche_links_D0240.txt	Comune	Milano
